ticker,date,title,distributor,gross,percent_yd,percent_lw,theaters,per_theater,total_gross,days_in_release,parent company,distributor address,distributorwebsite,release_date,year,title_key,weekday,release_month,release_weekday,is_weekend,days_since_release,average_theaters,average_daily_gross,average_daily_gross_per_theater,total_gross_by_average_theaters,avg_gross_monday,avg_gross_tuesday,avg_gross_wednesday,avg_gross_thursday,avg_gross_friday,avg_gross_saturday,avg_gross_sunday,avg_gross_weekend,avg_gross_weekday,gross_per_theater_by_total,weekly_gross_by_total,average_weekly_gross,average_weekly_gross_per_theater,id,original_title,popularity
LGF.A,2024-09-19,1992,Lionsgate,7249,-0.21,-0.76,159.0,46.0,2906073,21,Lionsgate,"Santa Monica, California, U.S.",http://www.lionsgate.com/,2024-08-29,2024,1992,3,8,3,0,21,636.3333333333334,124472.61111111111,168.77777777777777,4566.903614457831,141861.66666666666,85528.66666666667,55580.333333333336,35865.0,0.0,238833.33333333334,189166.66666666666,214000.0,79708.91666666667,4566.903614457831,968691.0,871308.2777777778,1181.4444444444443,435104,1992,1.3165
LGF.A,2024-09-19,1992,Lionsgate,7249,-0.21,-0.76,159.0,46.0,2906073,21,Lionsgate,"Santa Monica, California, U.S.",http://www.lionsgate.com/,2024-08-29,2024,1992,3,8,3,0,21,636.3333333333334,124472.61111111111,168.77777777777777,4566.903614457831,141861.66666666666,85528.66666666667,55580.333333333336,35865.0,0.0,238833.33333333334,189166.66666666666,214000.0,79708.91666666667,4566.903614457831,968691.0,871308.2777777778,1181.4444444444443,721229,1992,0.0214
LGF.A,2024-09-19,1992,Lionsgate,7249,-0.21,-0.76,159.0,46.0,2906073,21,Lionsgate,"Santa Monica, California, U.S.",http://www.lionsgate.com/,2024-08-29,2024,1992,3,8,3,0,21,636.3333333333334,124472.61111111111,168.77777777777777,4566.903614457831,141861.66666666666,85528.66666666667,55580.333333333336,35865.0,0.0,238833.33333333334,189166.66666666666,214000.0,79708.91666666667,4566.903614457831,968691.0,871308.2777777778,1181.4444444444443,754616,1992,0.0478
LGF.A,2024-09-19,1992,Lionsgate,7249,-0.21,-0.76,159.0,46.0,2906073,21,Lionsgate,"Santa Monica, California, U.S.",http://www.lionsgate.com/,2024-08-29,2024,1992,3,8,3,0,21,636.3333333333334,124472.61111111111,168.77777777777777,4566.903614457831,141861.66666666666,85528.66666666667,55580.333333333336,35865.0,0.0,238833.33333333334,189166.66666666666,214000.0,79708.91666666667,4566.903614457831,968691.0,871308.2777777778,1181.4444444444443,1482846,1992,0.0143
ORN,2007-09-03,2 Days in Paris,Samuel Goldw…,173789,0.0,0.0,112.0,1552.0,1966340,25,Orion Pictures Corporation,"Los Angeles, California, United States",http://www.samuelgoldwynfilms.com,2007-08-09,2007,2 days in paris,0,8,3,0,25,112.0,173789.0,1552.0,17556.60714285714,173789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173789.0,17556.60714285714,655446.6666666666,1216523.0,10864.0,1845,2 Days in Paris,2.224
CMCSA,2003-07-08,2 Fast 2 Furious,Universal,444000,0.0,-0.44,1779.0,250.0,120325965,33,Comcast Corporation,"10 Universal City Plaza, Universal City, California, United States",https://www.universalpictures.com///,2003-06-05,2003,2 fast 2 furious,1,6,3,0,33,2952.46875,3741870.9375,1160.0625,40754.3568412028,1776200.0,1695200.0,2126333.3333333335,1734500.0,6395388.0,6802533.0,4615253.0,5937724.666666667,1804352.9411764706,40754.3568412028,30081491.25,26193096.5625,8120.4375,584,2 Fast 2 Furious,1.7476
CMCSA,2013-10-24,2 Guns,Universal,9515,0.01,-0.23,135.0,70.0,75612460,85,Comcast Corporation,"10 Universal City Plaza, Universal City, California, United States",https://www.universalpictures.com///,2013-07-31,2013,2 guns,3,7,2,0,85,1276.8823529411766,904852.4705882353,407.5176470588235,59216.46565623992,525198.75,545979.5833333334,394145.4166666667,435318.46153846156,1478962.5,1746270.8333333333,1247219.5833333333,1490817.638888889,474347.44897959183,59216.46565623992,6301038.333333333,6333967.294117647,2852.6235294117646,136400,2 Guns,8.8622
Private,2020-12-09,2 Hearts,Freestyle Re…,44,-0.08,-0.74,5.0,9.0,1349284,55,"Entertainment Studios, Inc","Los Angeles, California, U.S.",https://www.freestyledigitalmedia.tv/,2020-10-15,2020,2 hearts,2,10,3,0,55,614.2545454545455,24532.436363636363,26.545454545454547,2196.6202936301206,8171.125,13875.125,9072.5,9632.42857142857,46599.0,52392.25,30122.125,43037.791666666664,10205.709677419354,2196.6202936301206,192754.85714285713,171727.05454545454,185.8181818181818,710356,2 Hearts,5.3632
PARA,1999-03-11,200 Cigarettes,Paramount Pi…,107129,0.04,-0.46,978.0,110.0,5737017,14,Paramount Global,"1515 Broadway, New York City, New York, 10036, United States",http://www.paramount.com/,1999-02-25,1999,200 cigarettes,3,2,3,0,14,976.8571428571429,409325.5714285714,419.42857142857144,5872.933460076046,160984.0,179623.5,138794.5,152580.5,762296.5,900000.0,571000.0,744432.1666666666,157995.625,5872.933460076046,2868508.5,2865279.0,2936.0,15256,200 Cigarettes,2.5326
SONY,2010-02-21,2012,Sony Pictures,23176,-0.39,-0.56,131.0,177.0,166112167,101,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-11-12,2010,2012,6,11,3,1,101,1864.7721518987341,2097931.3924050634,743.3037974683544,89079.06889904085,1010405.1,1263254.5,1205479.75,1176921.125,2904547.8666666667,3346050.8666666667,2180553.6666666665,2810384.1333333333,1154979.2352941176,89079.06889904085,11865154.785714285,14685519.746835444,5203.126582278481,14161,2012,10.8098
SONY,2010-02-21,2012,Sony Pictures,23176,-0.39,-0.56,131.0,177.0,166112167,101,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-11-12,2010,2012,6,11,3,1,101,1864.7721518987341,2097931.3924050634,743.3037974683544,89079.06889904085,1010405.1,1263254.5,1205479.75,1176921.125,2904547.8666666667,3346050.8666666667,2180553.6666666665,2810384.1333333333,1154979.2352941176,89079.06889904085,11865154.785714285,14685519.746835444,5203.126582278481,501497,2012,0.1945
